id,title,seq,start_sec,end_sec,start_time,end_time,original_text,japanese_translation,audio_url,audio_file,video_playback_url,doi
范丹_FULL_ELAN_0027,范丹,27,307.833,314.833,00:05:07.833,00:05:14.833,你的事我记在心…你万放宽！,あなたの願いを心に刻みます…どうかご安心を！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=307,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0028,范丹,28,329.733,337.166,00:05:29.733,00:05:37.166,黄河渡有八百里，,黄河の渡しは八百里、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=329,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0029,范丹,29,341.5,346.8,00:05:41.500,00:05:46.800,凡人难得渡过身。,人間には渡るのが難しい。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=341,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0030,范丹,30,347.666,354.733,00:05:47.666,00:05:54.733,我来渡你过黄河&现出原,私が渡してやろう…本来の姿を現す！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=347,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0031,范丹,31,374.266,383.533,00:06:14.266,00:06:23.533,又见龟仙原形现，,またウミガメ仙人が本来の姿を現した、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=374,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0032,范丹,32,387.866,394.533,00:06:27.866,00:06:34.533,双脚跨上龟背行。,両足でその背にまたがって進む。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=387,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0033,范丹,33,398.433,407.566,00:06:38.433,00:06:47.566,四足犹如划浆样，,四本足はまるで櫂のよう、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=398,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0034,范丹,34,411.633,418.833,00:06:51.633,00:06:58.833,虽然不怕胆战惊…我一路滔！,怖くはないが、やはり緊張する…波を越えて進む！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=411,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0035,范丹,35,435.066,440.966,00:07:15.066,00:07:20.966,哦！去不滴吧范善人,ああ、范丹よ、まだ終わりではない。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=435,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0036,范丹,36,453.433,460.4,00:07:33.433,00:07:40.400,黄河已经是过了身。,黄河は渡ったが、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=453,https://doi.org/10.5281/zenodo.20084809
